Names,profession,loan_purpose,total_credit_utilized,loan_amount,interest_rate,term,ten_of monthly,total_satoshis,total_sp_value,payoff_date,sp_price_on_date,btc_price_on_date,btc_sold_on_term,sp_sold_term,total_payment,spent_strategy
Timothy Becker,project specialist ,home_improvement,67380,15000,15.05,36,52,25344436,0.65,1/1/2021,3700,29022.42,7355.57,2405,21084,1944
Tracy Brown,program manager,house,30329,30000,10.42,60,64,36035392,1.1648,1/1/2023,3824,16540,5960.25,4454.1952,73238,5760
Judy Bowman,environmental specialist,debt_consolidation,73414,5000,15.05,36,17,8285681,0.2125,1/1/2021,3700,29022.42,2404.71,786.25,38077,3168
Gerald Andrews,teacher,debt_consolidation,217584,30000,10.91,36,98,47764514,1.225,1/1/2021,3700,29022.42,13862.42,4532.5,15987,1368
Daniel Wright,housekeeping supervisor,debt_consolidation,17781,10000,14.08,60,23,12950219,0.4186,1/1/2023,3824,16540,2141.97,1600.7264,23584,1944
Virginia Bowen,paramedic ,debt_consolidation,18013,3200,10.42,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,36606,3348
Joshua Gibson,truck driver,debt_consolidation,25691,20000,13.59,36,68,33142724,0.85,1/1/2021,3700,29022.42,9618.82,3145,19528,1800
Aaron Price,owner,credit_card,69485,25000,26.3,60,75,42228975,1.365,1/1/2023,3824,16540,6984.67,5219.76,39752,3060
Nicole Castro,rn-icu,medical,16674,6500,7.35,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,38450,3060
Samantha Thompson,,other,27840,12000,9.44,60,25,14076325,0.455,1/1/2023,3824,16540,2328.22,1739.92,3555,324
Barbara Harvey,,debt_consolidation,34173,10000,12.62,60,23,12950219,0.4186,1/1/2023,3824,16540,2141.97,1600.7264,19194,1620
Stephanie Pope,food server,debt_consolidation,6102,6000,7.97,36,19,9260467,0.2375,1/1/2021,3700,29022.42,2687.61,878.75,57582,4800
Charles Thompson,manager,credit_card,19011,14000,10.91,36,46,22420078,0.575,1/1/2021,3700,29022.42,6506.85,2127.5,26546,2340
Richard Bradley,head of product design,credit_card,34611,32000,14.08,60,75,42228975,1.365,1/1/2023,3824,16540,6984.67,5219.76,78840,6300
Amy Nguyen,assoc head coach,debt_consolidation,14845,8000,9.44,36,26,12672218,0.325,1/1/2021,3700,29022.42,3677.78,1202.5,49066,4356
Michael Burnett,reservation sales representative,credit_card,72737,16000,15.05,60,38,21396014,0.6916,1/1/2023,3824,16540,3538.9,2644.6784,2630,216
Austin Johnson,,other,65759,2000,10.42,36,6,2924358,0.075,1/1/2021,3700,29022.42,848.72,277.5,42905,3996
Carlos Lee,management,credit_card,59731,20000,11.99,36,66,32167938,0.825,1/1/2021,3700,29022.42,9335.91,3052.5,10364,900
Lori Watson,distribution manager,debt_consolidation,12843,8500,10.42,36,28,13647004,0.35,1/1/2021,3700,29022.42,3960.69,1295,74180,6000
Kimberly Navarro,operations manager,debt_consolidation,31273,20000,9.93,60,42,23648226,0.7644,1/1/2023,3824,16540,3911.42,2923.0656,29181,2664
James Harris,teacher,credit_card,128214,10000,10.42,36,32,15596576,0.4,1/1/2021,3700,29022.42,4526.5,1480,21211,1872
Jeffrey Hughes,seafood clerk,credit_card,12110,10000,22.91,36,39,19008327,0.4875,1/1/2021,3700,29022.42,5516.68,1803.75,40202,3744
Kevin Davis,science teacher,small_business,108069,6000,11.99,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,40000,3180
Brandy Edwards,radiology,debt_consolidation,25327,16000,6.08,36,49,23882257,0.6125,1/1/2021,3700,29022.42,6931.21,2266.25,19872,1680
Pamela Whitehead,,credit_card,29227,21000,12.62,36,70,34117510,0.875,1/1/2021,3700,29022.42,9901.73,3237.5,28394,2304
Tara Andrews,processor,debt_consolidation,24754,16000,17.09,60,40,22522120,0.728,1/1/2023,3824,16540,3725.16,2783.872,2757,252
Mary Bennett,teacher,debt_consolidation,71721,5600,9.44,36,18,8773074,0.225,1/1/2021,3700,29022.42,2546.16,832.5,37475,3180
Eric Anderson,interior concept designer,credit_card,75734,10000,9.93,36,32,15596576,0.4,1/1/2021,3700,29022.42,4526.5,1480,48988,4248
Bryan Gregory,director of nursing ,debt_consolidation,16747,18000,6.72,36,55,26806615,0.6875,1/1/2021,3700,29022.42,7779.93,2543.75,19515,1560
John Robles,vice president,debt_consolidation,8940,4800,13.59,36,16,7798288,0.2,1/1/2021,3700,29022.42,2263.25,740,32448,2916
Matthew Valencia,director ,debt_consolidation,169085,40000,6.08,36,122,59461946,1.525,1/1/2021,3700,29022.42,17257.3,5642.5,54853,4500
Elizabeth Allen,support manager,debt_consolidation,98220,18000,19.03,36,66,32167938,0.825,1/1/2021,3700,29022.42,9335.91,3052.5,12428,1044
Brandon Torres,captain,debt_consolidation,46872,35000,6.08,36,107,52151051,1.3375,1/1/2021,3700,29022.42,15135.5,4948.75,28816,2340
Natalie White,dds,debt_consolidation,431708,36000,6.72,36,111,54100623,1.3875,1/1/2021,3700,29022.42,15701.31,5133.75,53080,4716
Martin Contreras,network administrator,debt_consolidation,53889,10000,9.44,36,32,15596576,0.4,1/1/2021,3700,29022.42,4526.5,1480,56410,4716
Jeffery Miller,ceo,credit_card,105376,40000,10.91,36,131,63848483,1.6375,1/1/2021,3700,29022.42,18530.37,6058.75,24628,2040
Jennifer Dodson,,debt_consolidation,16151,17000,11.99,36,56,27294008,0.7,1/1/2021,3700,29022.42,7921.38,2590,20679,1800
Carolyn Beasley,flight attendant,other,24698,17000,11.99,60,38,21396014,0.6916,1/1/2023,3824,16540,3538.9,2644.6784,33729,2760
Melinda Martin,eeo lead officer,debt_consolidation,113519,10000,15.05,36,35,17058755,0.4375,1/1/2021,3700,29022.42,4950.86,1618.75,87798,6840
Victoria Coleman,operations manager ,debt_consolidation,30562,12000,12.62,36,40,19495720,0.5,1/1/2021,3700,29022.42,5658.13,1850,46300,3600
Gabriela Shannon,registered nurse team leader,credit_card,58827,15000,10.91,36,49,23882257,0.6125,1/1/2021,3700,29022.42,6931.21,2266.25,57675,4620
Gail Terrell,managing director,debt_consolidation,212773,35000,14.08,36,120,58487160,1.5,1/1/2021,3700,29022.42,16974.39,5550,6007,540
Megan Petersen,,major_purchase,21464,20000,10.91,36,65,31680545,0.8125,1/1/2021,3700,29022.42,9194.46,3006.25,10905,972
Christopher Cooper,financial consultant,debt_consolidation,219582,35000,18.06,60,89,50111717,1.6198,1/1/2023,3824,16540,8288.48,6194.1152,14642,1332
Julie Maxwell,qa control,house,25323,15000,6.72,36,46,22420078,0.575,1/1/2021,3700,29022.42,6506.85,2127.5,58463,4560
Connor Johnson,vice president,home_improvement,17326,6000,9.44,36,19,9260467,0.2375,1/1/2021,3700,29022.42,2687.61,878.75,51492,4248
Hannah Warren,art teacher,debt_consolidation,194572,6000,7.97,36,19,9260467,0.2375,1/1/2021,3700,29022.42,2687.61,878.75,7435,684
David Sanchez,pipelayer/construction laborer,home_improvement,59342,6000,7.97,36,19,9260467,0.2375,1/1/2021,3700,29022.42,2687.61,878.75,72020,5820
Valerie Bailey,vp sales,home_improvement,118388,21000,6.72,36,65,31680545,0.8125,1/1/2021,3700,29022.42,9194.46,3006.25,27818,2220
April Pearson,manager,credit_card,43882,40000,10.42,60,86,48422558,1.5652,1/1/2023,3824,16540,8009.09,5985.3248,63960,5340
Jeffrey Cook,sr application analyst,debt_consolidation,27354,28000,24.85,60,82,46170346,1.4924,1/1/2023,3824,16540,7636.58,5706.9376,42718,3924
Sandra Haas,executive director,debt_consolidation,35251,7200,15.05,36,25,12184825,0.3125,1/1/2021,3700,29022.42,3536.33,1156.25,52492,4680
Sherry Ponce,,debt_consolidation,42465,18000,10.42,60,39,21959067,0.7098,1/1/2023,3824,16540,3632.03,2714.2752,8158,720
John Vargas,it administrator,debt_consolidation,106635,40000,10.42,60,86,48422558,1.5652,1/1/2023,3824,16540,8009.09,5985.3248,47888,4080
Mark Perez,surgical tech,credit_card,69894,15700,17.09,60,39,21959067,0.7098,1/1/2023,3824,16540,3632.03,2714.2752,58765,4860
Megan Patterson,teacher,debt_consolidation,13672,9000,11.99,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,23690,2016
Victoria Ward,project manager,home_improvement,27173,12000,6.72,36,37,18033541,0.4625,1/1/2021,3700,29022.42,5233.77,1711.25,40775,3360
Amy Sanchez,motor vehicle representative,debt_consolidation,7705,15000,20,60,40,22522120,0.728,1/1/2023,3824,16540,3725.16,2783.872,21207,1872
Megan Brown,it supervisor,small_business,21166,24000,9.44,60,50,28152650,0.91,1/1/2023,3824,16540,4656.45,3479.84,24728,2100
Adam Ware,area operator,debt_consolidation,57261,35000,18.06,60,89,50111717,1.6198,1/1/2023,3824,16540,8288.48,6194.1152,15418,1296
Mary Franklin,loan officer/asst vice president,other,19041,8000,18.06,36,29,14134397,0.3625,1/1/2021,3700,29022.42,4102.14,1341.25,20422,1728
Crystal Allen,analyst,debt_consolidation,78874,40000,7.97,36,125,60924125,1.5625,1/1/2021,3700,29022.42,17681.66,5781.25,35908,2880
Walter Blankenship,department head,other,10030,12000,9.44,36,38,18520934,0.475,1/1/2021,3700,29022.42,5375.22,1757.5,58025,4560
Ryan Lang,sales,house,27652,6000,9.93,36,19,9260467,0.2375,1/1/2021,3700,29022.42,2687.61,878.75,36000,2880
Dr. Deborah Ali,immigration officer,debt_consolidation,74069,23000,21.45,60,63,35472339,1.1466,1/1/2023,3824,16540,5867.12,4384.5984,16316,1440
Thomas Hayes,ceo team leader,home_improvement,61675,34725,7.35,36,108,52638444,1.35,1/1/2021,3700,29022.42,15276.95,4995,53744,4440
Zoe Leonard,,debt_consolidation,52436,2000,25.82,36,8,3899144,0.1,1/1/2021,3700,29022.42,1131.63,370,15210,1260
Karen Mclean,ndt level 2 inspector,debt_consolidation,30855,4000,11.99,36,13,6336109,0.1625,1/1/2021,3700,29022.42,1838.89,601.25,52378,4440
Melanie Cain,director of operations,credit_card,67021,9600,13.59,36,33,16083969,0.4125,1/1/2021,3700,29022.42,4667.96,1526.25,48241,4212
Russell Smith,,debt_consolidation,60930,23000,13.59,60,53,29841809,0.9646,1/1/2023,3824,16540,4935.84,3688.6304,25193,2100
Tammy Davis,senior director ,debt_consolidation,30064,7000,10.91,36,23,11210039,0.2875,1/1/2021,3700,29022.42,3253.42,1063.75,37413,3180
Joseph Richardson,courier,debt_consolidation,26375,22000,17.09,36,79,38504047,0.9875,1/1/2021,3700,29022.42,11174.81,3653.75,15071,1404
Derek Anderson,systems engineer ,debt_consolidation,82468,35000,19.03,60,91,51237823,1.6562,1/1/2023,3824,16540,8474.74,6333.3088,45630,3840
Cynthia Tran,pipefitter,home_improvement,38870,2500,9.44,36,8,3899144,0.1,1/1/2021,3700,29022.42,1131.63,370,47861,4212
Linda Elliott,owner,debt_consolidation,14532,13000,9.44,36,42,20470506,0.525,1/1/2021,3700,29022.42,5941.04,1942.5,70080,5700
Alicia Hall,manager ,credit_card,14983,12000,6.08,36,37,18033541,0.4625,1/1/2021,3700,29022.42,5233.77,1711.25,3983,360
Mark Mcbride,hr director,debt_consolidation,30355,10000,7.97,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,2252,180
Amanda Young,president,debt_consolidation,140640,30000,10.42,36,97,47277121,1.2125,1/1/2021,3700,29022.42,13720.96,4486.25,40293,3348
Wesley West,counselor,medical,12112,15000,12.62,60,34,19143802,0.6188,1/1/2023,3824,16540,3166.38,2366.2912,2220,180
Samantha Hill,police officer,debt_consolidation,118160,18000,12.62,60,41,23085173,0.7462,1/1/2023,3824,16540,3818.29,2853.4688,45820,3600
Katrina Knight,engineer,credit_card,100778,35000,15.05,36,121,58974553,1.5125,1/1/2021,3700,29022.42,17115.84,5596.25,20255,1872
April Ashley,assistant director,credit_card,58973,20000,9.93,60,42,23648226,0.7644,1/1/2023,3824,16540,3911.42,2923.0656,54015,4380
Phillip Garcia,logistics management specialist,debt_consolidation,43346,20000,7.35,36,62,30218366,0.775,1/1/2021,3700,29022.42,8770.1,2867.5,19200,1620
Brooke Ruiz,aviator pilot,debt_consolidation,84066,16400,16.02,36,58,28268794,0.725,1/1/2021,3700,29022.42,8204.29,2682.5,30448,2460
Courtney Perry,senior designer,debt_consolidation,38457,20000,7.35,60,40,22522120,0.728,1/1/2023,3824,16540,3725.16,2783.872,46384,4320
Danielle Day,register nurse manager,home_improvement,38926,30000,10.42,60,64,36035392,1.1648,1/1/2023,3824,16540,5960.25,4454.1952,6447,540
Mr. Matthew Grimes PhD,executive,credit_card,117755,19000,14.08,60,44,24774332,0.8008,1/1/2023,3824,16540,4097.67,3062.2592,7680,648
Richard Kelly,vp,debt_consolidation,25617,4000,6.72,36,12,5848716,0.15,1/1/2021,3700,29022.42,1697.44,555,5688,504
John Cross,driver,credit_card,31505,33600,12.62,36,113,55075409,1.4125,1/1/2021,3700,29022.42,15984.22,5226.25,7105,612
Debbie Johnston,receptionist/clerk,debt_consolidation,47611,14000,6.08,36,43,20957899,0.5375,1/1/2021,3700,29022.42,6082.49,1988.75,26532,2160
Andrea Oliver,mental health therapist,home_improvement,20399,6800,10.42,36,22,10722646,0.275,1/1/2021,3700,29022.42,3111.97,1017.5,24730,2100
Erica Choi,supervisor,credit_card,43340,25000,10.91,36,82,39966226,1.025,1/1/2021,3700,29022.42,11599.17,3792.5,25958,2304
Leslie Parker,consulting business consultant,home_improvement,42373,15000,5.32,36,45,21932685,0.5625,1/1/2021,3700,29022.42,6365.4,2081.25,20675,1800
John Torres,production operator,car,17365,35000,21.45,60,96,54053088,1.7472,1/1/2023,3824,16540,8940.38,6681.2928,8627,756
Kyle Russell,practice manager,debt_consolidation,23133,10000,17.09,36,36,17546148,0.45,1/1/2021,3700,29022.42,5092.32,1665,43800,3600
Adrian Stevens,,credit_card,17496,30000,13.59,60,69,38850657,1.2558,1/1/2023,3824,16540,6425.9,4802.1792,8218,684
Mr. Max King,driver,debt_consolidation,4536,4500,9.44,36,14,6823502,0.175,1/1/2021,3700,29022.42,1980.35,647.5,35916,3060
Felicia Atkinson,business analyst,debt_consolidation,67013,24000,12.62,60,54,30404862,0.9828,1/1/2023,3824,16540,5028.96,3758.2272,36615,3348
Beth Campos,sales rep,debt_consolidation,46100,9600,14.08,36,33,16083969,0.4125,1/1/2021,3700,29022.42,4667.96,1526.25,81025,6300
John Garrison,community development officer,credit_card,45877,20000,7.35,36,62,30218366,0.775,1/1/2021,3700,29022.42,8770.1,2867.5,59860,5100
Joseph Hayes,maintenance technician,home_improvement,38274,6000,13.59,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,22798,1800
David Snyder,radiology technologisty,debt_consolidation,50370,7500,17.09,36,27,13159611,0.3375,1/1/2021,3700,29022.42,3819.24,1248.75,39468,3240
Matthew Brown,program support clerk,credit_card,36509,5200,11.99,36,17,8285681,0.2125,1/1/2021,3700,29022.42,2404.71,786.25,19826,1800
April Walter,claims assistant,debt_consolidation,37240,6000,14.08,36,21,10235253,0.2625,1/1/2021,3700,29022.42,2970.52,971.25,51811,4428
Courtney Spencer,human resources ,other,25873,10500,15.05,60,25,14076325,0.455,1/1/2023,3824,16540,2328.22,1739.92,61338,4980
William Mayer,,debt_consolidation,25825,15000,15.05,36,52,25344436,0.65,1/1/2021,3700,29022.42,7355.57,2405,10884,936
David Matthews,pdr technician,small_business,84281,15000,9.44,36,48,23394864,0.6,1/1/2021,3700,29022.42,6789.76,2220,6416,576
Amanda Crawford,coordinator,credit_card,63252,2500,11.99,36,8,3899144,0.1,1/1/2021,3700,29022.42,1131.63,370,10823,864
Gregory Hernandez,quantitative modeller,home_improvement,37181,35000,6.72,36,108,52638444,1.35,1/1/2021,3700,29022.42,15276.95,4995,15958,1476
Eileen Sampson,sr project manager,debt_consolidation,54128,15000,13.59,36,51,24857043,0.6375,1/1/2021,3700,29022.42,7214.12,2358.75,47284,4392
Kurt Snow,supervisor,credit_card,49906,35000,12.62,36,117,57024981,1.4625,1/1/2021,3700,29022.42,16550.03,5411.25,48808,4464
Andrea Smith,driver,debt_consolidation,33039,15000,16.02,36,53,25831829,0.6625,1/1/2021,3700,29022.42,7497.02,2451.25,23418,1860
Jonathan Chung,area director,small_business,54576,5000,15.05,36,17,8285681,0.2125,1/1/2021,3700,29022.42,2404.71,786.25,16892,1476
Ashley Golden,cnc programmer / operator,moving,58714,3600,6.72,36,11,5361323,0.1375,1/1/2021,3700,29022.42,1555.99,508.75,31414,2916
Luke Young,sheriff deputy/bailiff,credit_card,17856,10000,9.44,36,32,15596576,0.4,1/1/2021,3700,29022.42,4526.5,1480,52378,4440
Hannah Moore,director of operations,debt_consolidation,50415,19000,15.05,36,66,32167938,0.825,1/1/2021,3700,29022.42,9335.91,3052.5,66320,5220
Amber Walsh,logistics lead,debt_consolidation,18847,3000,9.44,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,16257,1404
Nichole Nielsen,teacher,debt_consolidation,5428,8650,14.08,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,25664,2304
Heather Boyer,quality assurance,moving,31838,1000,16.02,36,4,1949572,0.05,1/1/2021,3700,29022.42,565.81,185,45931,4104
Kevin Mosley,sales,debt_consolidation,80401,12000,6.08,36,37,18033541,0.4625,1/1/2021,3700,29022.42,5233.77,1711.25,39622,3240
Amy Perkins,carpenter,debt_consolidation,17154,20000,13.59,60,46,25900438,0.8372,1/1/2023,3824,16540,4283.93,3201.4528,14224,1224
Scott Snow,design engineer,debt_consolidation,87190,22000,5.32,36,66,32167938,0.825,1/1/2021,3700,29022.42,9335.91,3052.5,44418,3816
Brenda Martin,manager,debt_consolidation,31967,20400,23.88,60,59,33220127,1.0738,1/1/2023,3824,16540,5494.61,4106.2112,7786,684
Gilbert Rogers,mechainc,home_improvement,4873,8000,6.72,36,25,12184825,0.3125,1/1/2021,3700,29022.42,3536.33,1156.25,26265,2220
Francisco Lawrence,teachrr,major_purchase,83100,7000,10.42,36,23,11210039,0.2875,1/1/2021,3700,29022.42,3253.42,1063.75,13594,1188
Deborah Williamson,nurse,credit_card,39191,10000,16.02,36,35,17058755,0.4375,1/1/2021,3700,29022.42,4950.86,1618.75,37090,3000
David Moore,manager,debt_consolidation,6606,8400,17.09,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,37040,2880
Pamela Sanders,owner,other,19159,3000,9.44,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,29550,2460
Lisa Boyd,owner,other,37610,10000,16.02,36,35,17058755,0.4375,1/1/2021,3700,29022.42,4950.86,1618.75,59212,5076
Maureen Rodriguez,director of training,debt_consolidation,63284,20000,10.91,36,65,31680545,0.8125,1/1/2021,3700,29022.42,9194.46,3006.25,52192,4320
Andrew Alvarado,engineer,debt_consolidation,70229,12000,11.99,36,40,19495720,0.5,1/1/2021,3700,29022.42,5658.13,1850,28448,2448
Donna Holt,executive director,other,98692,36000,12.62,60,81,45607293,1.4742,1/1/2023,3824,16540,7543.45,5637.3408,70100,5700
Jasmine Dixon,production control manager,debt_consolidation,29143,12000,11.99,60,27,15202431,0.4914,1/1/2023,3824,16540,2514.48,1879.1136,15928,1404
Daniel King,president,car,51966,30000,11.99,60,67,37724551,1.2194,1/1/2023,3824,16540,6239.64,4662.9856,14843,1404
Nicholas Powell,owner,debt_consolidation,21835,2800,16.02,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,7786,684
Anthony Cervantes,hr director ,moving,32424,3000,10.42,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,22225,1836
Shannon Blackwell,owner ,debt_consolidation,7144,20000,14.08,60,47,26463491,0.8554,1/1/2023,3824,16540,4377.06,3271.0496,14960,1260
Cynthia Andrews,nurse,credit_card,27130,40000,9.93,60,85,47859505,1.547,1/1/2023,3824,16540,7915.96,5915.728,6799,612
Tyler Wagner II,professor,credit_card,9075,8500,10.91,36,28,13647004,0.35,1/1/2021,3700,29022.42,3960.69,1295,18289,1548
Eric Vincent,registered nurse,debt_consolidation,63426,20000,14.08,36,68,33142724,0.85,1/1/2021,3700,29022.42,9618.82,3145,10451,900
Martin Perez,assistant professor,credit_card,50320,7000,7.35,36,22,10722646,0.275,1/1/2021,3700,29022.42,3111.97,1017.5,89680,7020
Barbara Brown,server,credit_card,46687,10200,17.09,36,36,17546148,0.45,1/1/2021,3700,29022.42,5092.32,1665,2566,216
Bryan Wood,paralegal,credit_card,169507,8000,9.93,36,26,12672218,0.325,1/1/2021,3700,29022.42,3677.78,1202.5,31200,2460
Joshua Jackson,office manager,debt_consolidation,16106,14000,13.59,36,48,23394864,0.6,1/1/2021,3700,29022.42,6789.76,2220,9457,864
Jasmine Thomas,sales,debt_consolidation,38733,14000,9.93,36,45,21932685,0.5625,1/1/2021,3700,29022.42,6365.4,2081.25,17697,1620
Paula Bell,program analyst iii,credit_card,42298,22000,12.62,60,50,28152650,0.91,1/1/2023,3824,16540,4656.45,3479.84,39459,3060
Charles Love,bar porter,other,1681,2000,7.35,36,6,2924358,0.075,1/1/2021,3700,29022.42,848.72,277.5,5797,540
Lauren Lopez,direct care aide,debt_consolidation,10607,2000,10.91,36,7,3411751,0.0875,1/1/2021,3700,29022.42,990.17,323.75,19572,1620
Michele White,,other,26864,2700,6.72,36,8,3899144,0.1,1/1/2021,3700,29022.42,1131.63,370,47985,4020
Erica Rivera,senior programmer analyst,other,51896,20000,15.05,36,69,33630117,0.8625,1/1/2021,3700,29022.42,9760.27,3191.25,19200,1620
Melissa Bentley,bank examiner,credit_card,84373,12000,14.08,60,28,15765484,0.5096,1/1/2023,3824,16540,2607.61,1948.7104,21766,1800
Donald Mcdaniel,skilled trade,debt_consolidation,196103,35000,10.91,36,114,55562802,1.425,1/1/2021,3700,29022.42,16125.67,5272.5,51008,4464
Adam Cunningham,letter carrier,home_improvement,22128,30000,19.03,36,110,53613230,1.375,1/1/2021,3700,29022.42,15559.86,5087.5,6416,576
